8678,4926,3635,4716,14632
9273,13042,3811,3413,5400
11681,2205,2220,414,11935
11445,10331,4430,83,4769
4093,13327,10463,177,12498
895,6205,13326,5732,10154
6607,2472,7635,9779,11625
10773,1390,12812,2515,9784
7702,13547,856,14453,12197
312,6740,9939,14417,7014
10585,612,10201,8138,9004
1,2,3,4,5
13189,1867,148,5412,8648
15183,9872,12467,2538,4914
3023,3717,527,4050,7327
205,1126,1561,2072,6329
316,8426,2171,7058,13932
1561,2072,6329,10695,12785
13803,12552,7377,510,2004
361,493,2153,12981,13863
823,4338,12420,7687,14579
14666,7188,2230,10111,8181
5891,8916,10218,14719,14065
1635,1717,4392,12417,7958
14262,9033,3435,11783,6216
1408,3365,3510,4484,4657
11739,9188,172,65,7220
12063,9222,2792,3751,4864
10451,4403,2131,2353,4730
1147,5010,8191,13818,7811
26,5942,293,11327,10216
8958,597,5638,10596,8895
408,886,159,13150,11876
5680,478,8675,14289,5078
138,13382,11202,8996,14789
14503,1126,9299,11737,4765
12061,12966,5574,3535,8275
3453,6447,8976,3264,5681
4492,4998,454,14802,14266
368,11573,9823,12520,7458
13117,110,587,1009,11240
704,333,13213,10655,12756
9245,6357,1,2,3
9881,3734,12936,647,10926
13608,9266,600,13014,10659
746,13525,68,3482,4761
4250,14547,6057,13113,870
436,1984,9763,13473,14343
2544,10145,15246,2009,8254
5183,12882,9087,14821,12575
1626,8667,11462,9781,8614
137,1621,7889,8954,1904
14120,3325,3749,6055,8206
10874,12669,14824,294,12340
4399,14785,10649,4070,949
75,938,590,2355,4511
3953,5238,13081,14439,5571
12203,13759,1596,5878,11288
10164,5311,13650,804,2111
5829,8556,431,5025,7070
1451,4437,5545,10309,11948
13738,5316,6867,13618,5044
10379,7488,12055,15367,964
7807,13579,12097,14216,12458
4631,5450,7366,8551,10949
1514,6743,7983,14965,11305
31,5696,14149,9396,14778
553,9069,9684,11507,15050
1144,4033,1946,12564,6392
361,493,2153,12981,8999
13650,2979,5311,10979,390
9561,14608,4716,14632,2231
2276,11529,3468,8872,5038
12087,3175,839,14039,12695
3443,10929,2719,8948,3554
7840,11680,10247,9435,11826
9672,4767,4279,8653,7121
2015,15274,7570,11329,4239
10945,7204,10955,4742,248
4629,5691,13092,12994,1280
12346,10719,3903,5916,11245
4629,13092,4072,13177,7109
2721,9908,4008,12489,2690
14622,592,10761,13499,77
9497,62,4631,5450,5985
7562,6985,14118,7393,1
3309,9290,10673,11635,11858
6397,6217,15290,3990,2133
15181,11838,4604,4876,7442
10512,6072,1,2,3
3059,510,10718,10020,4956
7341,2882,13169,9860,12015
1,2,3,4,5
2313,4049,4206,12183,14630
3855,4716,13005,1,2
12494,7474,6169,669,2478
695,13023,13355,14883,7163
9611,13102,9813,4040,6497
7158,2843,4954,8160,8284
5985,4300,4632,10799,7255
4744,9835,3611,2164,4637
101,3104,4103,7655,11430
1046,14538,11205,3082,12022
2480,14160,9750,13216,4324
11652,13850,14100,13971,9287
26,5942,218,11327,10216
10874,241,12340,2843,4954
3937,5679,6742,9358,12112
10547,7147,14833,14958,3822
80,12474,6741,8917,12809
11342,5374,3250,11531,12243
4644,8572,5430,15080,14530
8750,9502,263,6651,1
2365,12066,3012,1985,12605
3332,10174,2540,3302,8217
9394,8284,4295,1015,11484
12714,11706,2439,11105,12545
1628,3844,10319,11318,1843
9322,787,14987,1014,4036
146,366,4545,7675,12514
5109,5788,6298,12092,5092
1947,13693,1725,3124,5282
2064,2704,83,5012,3706
14656,6984,10715,12018,10074
9939,7564,11526,9788,3010
7832,12533,14871,9153,12393
4437,11272,1484,5330,6290
1451,10309,11948,11764,11325
8426,2171,13932,3337,12709
3008,10311,13103,6170,15170
6742,5679,11390,1012,6224
12190,9124,11297,13167,1916
2245,4045,12207,11250,13402
3046,6614,6092,6631,638
1952,2058,3326,7145,7807
8157,8141,794,14474,9490
1408,3510,4657,4777,6787
6464,8559,6380,3110,8689
4945,14708,5721,13022,6121
11804,13066,2840,6988,14259
11926,8732,6606,14340,1941
6141,14979,4186,10959,9968
3462,89,4667,12548,10351
8830,7927,8914,7546,8484
844,11975,13755,14198,10325
13213,10655,12756,13341,12768
14758,4309,2809,4836,2139
75,938,13281,10887,15321
1046,11205,14538,12022,6097
11336,14029,11679,8568,10945
2485,15232,9751,14352,3472
615,2389,8170,12878,138
659,8929,12107,10862,4938
2117,5454,6257,6284,8812
13830,5495,1715,5470,7343
811,6119,11928,9183,6619
